model,metric_score,feature_index
AdaBoostClassifier,0.6666666666666666,0
BaggingClassifier,0.6666666666666666,0
DecisionTreeClassifier,0.6666666666666666,0
GradientBoostingClassifier,0.65,0
KNeighborsClassifier,0.6,0
LogisticRegression,0.6166666666666667,0
MLPClassifier,0.5666666666666667,0
NearestCentroid,0.6166666666666667,0
RandomForestClassifier,0.65,0
SVC,0.6,0
AdaBoostClassifier,0.6833333333333333,1
BaggingClassifier,0.7166666666666667,1
DecisionTreeClassifier,0.7333333333333333,1
GradientBoostingClassifier,0.7,1
KNeighborsClassifier,0.7166666666666667,1
LogisticRegression,0.6,1
MLPClassifier,0.6166666666666667,1
NearestCentroid,0.5833333333333334,1
RandomForestClassifier,0.7333333333333333,1
SVC,0.5833333333333334,1
AdaBoostClassifier,0.6166666666666667,2
BaggingClassifier,0.6,2
DecisionTreeClassifier,0.6166666666666667,2
GradientBoostingClassifier,0.6,2
KNeighborsClassifier,0.5833333333333334,2
LogisticRegression,0.5833333333333334,2
MLPClassifier,0.5666666666666667,2
NearestCentroid,0.5833333333333334,2
RandomForestClassifier,0.55,2
SVC,0.5833333333333334,2
AdaBoostClassifier,0.6666666666666666,3
BaggingClassifier,0.6333333333333333,3
DecisionTreeClassifier,0.65,3
GradientBoostingClassifier,0.65,3
KNeighborsClassifier,0.6666666666666666,3
LogisticRegression,0.6166666666666667,3
MLPClassifier,0.6166666666666667,3
NearestCentroid,0.5833333333333334,3
RandomForestClassifier,0.4833333333333333,3
SVC,0.5833333333333334,3
AdaBoostClassifier,0.6333333333333333,4
BaggingClassifier,0.6333333333333333,4
DecisionTreeClassifier,0.6333333333333333,4
GradientBoostingClassifier,0.6333333333333333,4
KNeighborsClassifier,0.5833333333333334,4
LogisticRegression,0.6166666666666667,4
MLPClassifier,0.6,4
NearestCentroid,0.6166666666666667,4
RandomForestClassifier,0.6333333333333333,4
SVC,0.6,4
AdaBoostClassifier,0.6333333333333333,5
BaggingClassifier,0.6166666666666667,5
DecisionTreeClassifier,0.6333333333333333,5
GradientBoostingClassifier,0.6166666666666667,5
KNeighborsClassifier,0.6333333333333333,5
LogisticRegression,0.6166666666666667,5
MLPClassifier,0.5833333333333334,5
NearestCentroid,0.6166666666666667,5
RandomForestClassifier,0.6333333333333333,5
SVC,0.6166666666666667,5
AdaBoostClassifier,0.65,6
BaggingClassifier,0.65,6
DecisionTreeClassifier,0.6666666666666666,6
GradientBoostingClassifier,0.65,6
KNeighborsClassifier,0.6333333333333333,6
LogisticRegression,0.6166666666666667,6
MLPClassifier,0.5833333333333334,6
NearestCentroid,0.6166666666666667,6
RandomForestClassifier,0.65,6
SVC,0.6166666666666667,6
AdaBoostClassifier,0.6,7
BaggingClassifier,0.5833333333333334,7
DecisionTreeClassifier,0.5833333333333334,7
GradientBoostingClassifier,0.5833333333333334,7
KNeighborsClassifier,0.6333333333333333,7
LogisticRegression,0.6166666666666667,7
MLPClassifier,0.5833333333333334,7
NearestCentroid,0.6,7
RandomForestClassifier,0.5833333333333334,7
SVC,0.6,7
AdaBoostClassifier,0.5833333333333334,8
BaggingClassifier,0.6,8
DecisionTreeClassifier,0.6,8
GradientBoostingClassifier,0.5166666666666667,8
KNeighborsClassifier,0.6,8
LogisticRegression,0.5166666666666667,8
MLPClassifier,0.5166666666666667,8
NearestCentroid,0.5333333333333333,8
RandomForestClassifier,0.4666666666666667,8
SVC,0.5333333333333333,8
AdaBoostClassifier,0.6166666666666667,9
BaggingClassifier,0.5833333333333334,9
DecisionTreeClassifier,0.5833333333333334,9
GradientBoostingClassifier,0.6,9
KNeighborsClassifier,0.5666666666666667,9
LogisticRegression,0.5166666666666667,9
MLPClassifier,0.5166666666666667,9
NearestCentroid,0.6,9
RandomForestClassifier,0.6,9
SVC,0.5666666666666667,9
AdaBoostClassifier,0.55,10
BaggingClassifier,0.5166666666666667,10
DecisionTreeClassifier,0.55,10
GradientBoostingClassifier,0.5166666666666667,10
KNeighborsClassifier,0.5333333333333333,10
LogisticRegression,0.5166666666666667,10
MLPClassifier,0.5166666666666667,10
NearestCentroid,0.55,10
RandomForestClassifier,0.4666666666666667,10
SVC,0.5666666666666667,10
AdaBoostClassifier,0.6,11
BaggingClassifier,0.6,11
DecisionTreeClassifier,0.6,11
GradientBoostingClassifier,0.6,11
KNeighborsClassifier,0.6166666666666667,11
LogisticRegression,0.6166666666666667,11
MLPClassifier,0.55,11
NearestCentroid,0.6166666666666667,11
RandomForestClassifier,0.6,11
SVC,0.5833333333333334,11
AdaBoostClassifier,0.5833333333333334,12
BaggingClassifier,0.4833333333333333,12
DecisionTreeClassifier,0.5833333333333334,12
GradientBoostingClassifier,0.45,12
KNeighborsClassifier,0.4833333333333333,12
LogisticRegression,0.5333333333333333,12
MLPClassifier,0.5166666666666667,12
NearestCentroid,0.5,12
RandomForestClassifier,0.4333333333333333,12
SVC,0.5833333333333334,12
AdaBoostClassifier,0.5666666666666667,13
BaggingClassifier,0.5833333333333334,13
DecisionTreeClassifier,0.5666666666666667,13
GradientBoostingClassifier,0.5166666666666667,13
KNeighborsClassifier,0.5666666666666667,13
LogisticRegression,0.5166666666666667,13
MLPClassifier,0.55,13
